,Oil_store,Address,Price,Self,Brand,Location
3,한독주유소,서울 서초구 방배로 218 (방배동),1589.0,N,GS칼텍스,서초구
4,현대오일뱅크(주)직영 팔레스주유소,서울 서초구 사평대로 136 (반포동),1589.0,N,현대오일뱅크,서초구
5,에쓰오일(주)직영 오토테크주유소,서울특별시 서초구  효령로 356 (서초동),1591.0,Y,S-OIL,서초구
6,태봉셀프주유소,서울 서초구 태봉로 117 (우면동),1595.0,Y,SK에너지,서초구
7,양재주유소,서울 서초구 바우뫼로 178,1595.0,N,SK에너지,서초구
8,(주)대농석유 남태령주유소,서울 서초구 과천대로 838 (방배동),1595.0,Y,SK에너지,서초구
9,서초꽃마을주유소,서울 서초구 반포대로 69 (서초동),1595.0,N,GS칼텍스,서초구
10,말죽거리주유소,서울 서초구 남부순환로 2650 (양재동),1596.0,N,GS칼텍스,서초구
11,방배동주유소,서울 서초구 효령로 29 (방배동),1597.0,N,SK에너지,서초구
12,신반포주유소,서울 서초구 사평대로 94 (반포동),1598.0,N,SK에너지,서초구
